Timestamp,yos,faculty,campus,gender,bg,int,goal,service,review,review_class,goal_class,class,category_id
6/7/2019 15:55:48,U2,Arts,Downtown Campus,Female,Hispanic ,No,,Counselling services and psychiatric services ,Good,,NaN,NaN,
6/7/2019 16:09:10,U3,Cognitive science ,Downtown Campus,Female,Jewish ,Yes,Coping with anxiety ,"Yes, Mcgill psychiatric services",I was prescribed anti-depressants and only talked with my doctor an average of 10 minutes each appt,,coping skills,coping skills,
6/7/2019 16:53:52,U3,Arts,Downtown Campus,Female,,Yes,managing seasonal depression,Counselling services,Terrible,,depression,depression,
6/7/2019 17:34:31,Graduate Studies,Law,Downtown Campus,Female,White british ,Yes,Depression addiction anxiety,Mental health clinic,Fine,,"depression, addiction, coping skills",depression,
6/7/2019 18:56:17,Graduate Studies,Medicine,Downtown Campus,Female,Eastern european,No,Be able to control negative thoughts,Counselling,I needed psychotherapy,,coping skills,coping skills,
6/7/2019 20:15:33,U4+,Arts,Downtown Campus,Female,Arab,No,Managing depression,"Yes, counselling and psychotherapy ",It was good. I appreciated the counselling but the psychotherapy was very short and very oriented towards medication ,,"coping skills, depression",depression,
6/7/2019 20:43:24,U0,Management ,Downtown Campus,Female,Chinese,No,Increasing confidence ,Counselling (outside of school),satisfactory,,coping skills,coping skills,
6/7/2019 20:52:32,U1,Mathematics,Downtown Campus,Female,,No,,No,.,,NaN,NaN,
6/7/2019 20:56:38,U1,Science,Downtown Campus,Female,China,Yes,easier access for treatment of eating disorder,No,No experience,,eating disorder,eating disorder,
6/7/2019 21:45:20,U3,Arts,Downtown Campus,Female,,Yes,Having someone to talk to ,Psychiatric services and a nutritionist,It took me a long time to get a psychiatrist appointment and even when I did the doctor wasn’t there to listen but rather felt like he wanted to give meds and go one with his day,,talk to someone,talk to someone,
6/7/2019 21:54:00,U1,Science ,Downtown Campus,Female,Palestinian-Jordanian ,Prefer not to say,Managing exam and test-taking anxiety. ,McGill Counselling and Psychiatric Services,Terrible. Appointments were too sparse. It seemed like the counsellor forgot me and I had to reintroduce myself and repeat everything every single session.,,"coping skills, academic",coping skills,
6/7/2019 23:02:58,U0,Arts,Downtown Campus,Male,,Yes,"Managing intrusive thoughts, being productive, meeting my full potential",No,N/A,,"coping skills, academic",coping skills,
6/8/2019 0:54:44,U3,Agr Sci,Macdonald Campus,Female,Chinese,No,"Stress, depression, guidance/advice/support",Eating disorder program,Counseling & therapy group,,"talk to someone, depression",talk to someone,
6/8/2019 2:55:33,U0,Arts and Science,Downtown Campus,Male,Bangladeshi,No,"Yeah managing stress, talking to someone about goals, academics and relationships, keeping up with academics",No,N/A,,"coping skills, talk to someone, academic ",talk to someone,
6/8/2019 5:03:29,Graduate Studies,Law,Downtown Campus,Female,Italian,Yes,Managing anxiety,No,N.A.,,coping skills,coping skills,
6/8/2019 8:41:25,U2,Education,Downtown Campus,Female,Canadian,No,Managing bipolar disorder,"Never with McGill, have used CLSC, hospital for mental health ",Got doctors notes and new medication in past crises,,bipolar disorder,bipolar disorder,
6/8/2019 11:10:54,U3,Eng,Downtown Campus,Male,,No,,No,N/A,,NaN,NaN,
6/8/2019 12:14:51,U3,science,Downtown Campus,Male,canadian,No,"having someone to talk to, managing stress and axiety",no,na,,"talk to someone, coping skills",talk to someone,
6/8/2019 18:18:22,U3,Science,Downtown Campus,Female,,No,"staying motivated, having energy","counselling, psychiatry","it was fine, i lucked out and got appointments really fast because of cancellations. if that didnt happen, i wouldve been way worse off. other than the waiting time i think its great, but i also wish that making appointments was easier",,coping skills,coping skills,
6/8/2019 20:08:48,U2,Science,Downtown Campus,Female,,Yes,"Stress management, previous trauma",No. ,N/a,,"trauma, coping skills",trauma,
6/8/2019 22:10:18,U2,Arts and science,Downtown Campus,Male,Mixed,No,Be more positive mentally ,No,N/a,,coping skills,coping skills,
,,,,,,,Emotional support and advice,,,,,talk to someone,
,,,,,,,Having someone to talk to,,,,,talk to someone,
,,,,,,,Managing anxiety ,,,,,coping skills,
,,,,,,,"Managing my mood, stress and social anxiety ",,,,,coping skills,
,,,,,,,Seeking help for feeling blue,,,,,depression,
,,,,,,,"developing healthy coping skills (e.g. mindfulness, breathing) understanding the nature of my mental health issues getting the correct medication needed problem-solving through discussion with another person to find the best solution to manage anxiety/depression",,,,,coping skills,
,,,,,,,Having a schedule to follow so I don't lag behind and get stressed when things aren't completed. Taking it easy on myself when things dont go as planned. Not being afraid to say that I want to go home and take the time to rest. ,,,,,academic,
,,,,,,,Managing stress anxiety in a way so that it does not interfere with school and social life. Taking the time for self-care and knowing when I'm doing too much or need to take a break.,,,,,academic,
,,,,,,,Managing anxiety ,,,,,coping skills,
,,,,,,,"Managing stress, emotions, and body image issues",,,,,body image,
,,,,,,,,,,,,NaN,
,,,,,,,Coping with anxiety ,,,,,coping skills,
,,,,,,,managing seasonal depression,,,,,depression,
,,,,,,,Depression addiction anxiety,,,,,depression,
,,,,,,,Be able to control negative thoughts,,,,,coping skills,
,,,,,,,Managing depression,,,,,depression,
,,,,,,,Increasing confidence ,,,,,coping skills,
,,,,,,,,,,,,NaN,
,,,,,,,easier access for treatment of eating disorder,,,,,eating disorder,
,,,,,,,Having someone to talk to ,,,,,talk to someone,
,,,,,,,Managing exam and test-taking anxiety. ,,,,,coping skills,
,,,,,,,"Managing intrusive thoughts, being productive, meeting my full potential",,,,,coping skills,
,,,,,,,"Stress, depression, guidance/advice/support",,,,,talk to someone,
,,,,,,,"Yeah managing stress, talking to someone about goals, academics and relationships, keeping up with academics",,,,,talk to someone,
,,,,,,,Managing anxiety,,,,,coping skills,
,,,,,,,Managing bipolar disorder,,,,,bipolar disorder,
,,,,,,,,,,,,NaN,
,,,,,,,"having someone to talk to, managing stress and axiety",,,,,talk to someone,
,,,,,,,"staying motivated, having energy",,,,,coping skills,
,,,,,,,"Stress management, previous trauma",,,,,trauma,
,,,,,,,Be more positive mentally ,,,,,coping skills,
,,,,,,,easier access for treatment of eating disorder,,,,,eating disorder,
,,,,,,,Having someone to talk to ,,,,,talk to someone,
,,,,,,,Managing exam and test-taking anxiety. ,,,,,coping skills,
,,,,,,,"Managing intrusive thoughts, being productive, meeting my full potential",,,,,coping skills,
,,,,,,,"Stress, depression, guidance/advice/support",,,,,talk to someone,
,,,,,,,"Yeah managing stress, talking to someone about goals, academics and relationships, keeping up with academics",,,,,talk to someone,
,,,,,,,Managing anxiety,,,,,coping skills,
,,,,,,,Managing bipolar disorder,,,,,bipolar disorder,
,,,,,,,"Managing my mood, stress and social anxiety ",,,,,coping skills,
,,,,,,,Seeking help for feeling blue,,,,,depression,
,,,,,,,"Managing stress, emotions, and body image issues",,,,,body image,
,,,,,,,"Stress management, previous trauma",No. ,N/a,,"trauma, coping skills",trauma,
,,,,,,,Managing bipolar disorder,,,,,bipolar disorder,
,,,,,,,"Stress management, previous trauma",No. ,N/a,,"trauma, coping skills",trauma,
,,,,,,,"Stress management, previous trauma",No. ,N/a,,"trauma, coping skills",trauma,
,,,,,,,"Stress management, previous trauma",No. ,N/a,,"trauma, coping skills",trauma,
,,,,,,,Managing bipolar disorder,,,,,bipolar disorder,
,,,,,,,Managing bipolar disorder,,,,,bipolar disorder,
